journal_title,alt_title,pissn,eissn,language,publisher,country_of_pub,APC,waiver,date_added_to_doaj,APC_in_dollar
International Productivity Monitor,NA,1492-9759,1492-9767,English,Centre for the Study of Living Standards,Canada,FALSE,FALSE,2020-07-17T07:34:36Z,NA
Encounters on Education,NA,1494-4936,1925-8992,"English, French, Spanish",Queen's University,Canada,FALSE,FALSE,2011-05-10T09:42:42Z,NA
EGambling,NA,NA,1494-5185,"English, French",Centre for Addiction and Mental Health,Canada,FALSE,FALSE,2006-03-03T13:46:51Z,NA
Language and Literacy: A Canadian Educational e-journal,NA,NA,1496-0974,"English, French",Language and Literacy Researchers of Canada,Canada,FALSE,FALSE,2004-10-01T14:14:55Z,NA
Canadian Journal of Learning and Technology,Revue Canadienne de l'Apprentissage et de la Technologie,1499-6677,1499-6685,"English, French",The Canadian Network for Innovation in Education (CNIE),Canada,FALSE,FALSE,2004-11-03T11:52:22Z,NA
Belphégor,Littérature Populaire et Culture Médiatique,NA,1499-7185,"English, French, German, Italian, Portuguese, Spanish",Dalhousie University,France,FALSE,FALSE,2016-12-09T21:06:29Z,NA
Poljarnyj Vestnik: Norwegian Journal of Slavic Studies,Poljarnyj Vestnik,1500-7502,1890-9671,"English, Russian",Septentrio Academic Publishing,Norway,FALSE,FALSE,2008-06-18T11:11:53Z,NA
Målbryting,NA,1500-8576,2535-8308,"Danish, English, Norwegian Bokmål, Norwegian Nynorsk, Swedish",Septentrio Academic Publishing,Norway,FALSE,FALSE,2020-09-08T11:41:56Z,NA
DIN,Tidsskrift for Religion og Kultur,1501-9934,2387-6735,"English, Norwegian Bokmål, Norwegian Nynorsk, Swedish",Novus forlag,Norway,FALSE,FALSE,2018-07-18T12:23:13Z,NA
Fauna Norvegica,NA,1502-4873,1891-5396,English,Norwegian University of Science and Technology,Norway,FALSE,FALSE,2010-02-26T13:35:50Z,NA
ICAME Journal,NA,NA,1502-5462,English,Sciendo,Poland,FALSE,FALSE,2015-07-03T19:20:28Z,NA
Tidsskrift for Kulturforskning,TFK,1502-7473,2387-6727,"Danish, Norwegian Bokmål, Norwegian Nynorsk, Swedish",Novus forlag,Norway,FALSE,FALSE,2018-02-14T09:45:46Z,NA
NJES: Nordic Journal of English studies,NA,1502-7694,1654-6970,English,Göteborg University,Sweden,FALSE,FALSE,2008-01-22T12:54:37Z,NA
Tidsskrift for Ungdomsforskning,NA,1502-7759,1894-1036,Norwegian,NOVA,Norway,FALSE,FALSE,2015-12-23T13:44:57Z,NA
Babylon,Nordisk Tidsskrift for Midtøstenstudier,1503-5727,2535-3098,"Norwegian Bokmål, Danish, Swedish",University of Oslo Library,Norway,FALSE,FALSE,2018-02-01T11:39:51Z,NA
Voices,Voices: A World Forum for Music Therapy,NA,1504-1611,English,GAMUT - Grieg Academy Music Therapy Research Centre (NORCE & University of Bergen),Norway,FALSE,FALSE,2019-05-31T10:13:04Z,NA
Historisk Tidsskrift,Norwegian Journal of History,NA,1504-2944,"Norwegian, Norwegian Nynorsk",Scandinavian University Press/Universitetsforlaget,Norway,FALSE,FALSE,2019-09-02T14:16:05Z,NA
Nordisk Tidsskrift for Helseforskning,NA,1504-3614,1891-2982,Norwegian,Septentrio Academic Publishing,Norway,FALSE,FALSE,2010-03-22T16:31:56Z,NA
Nordina: Nordic Studies in Science Education,NA,1504-4556,1894-1257,"Danish, English, Norwegian, Swedish",University of Oslo,Norway,FALSE,FALSE,2013-11-06T14:00:32Z,NA
Seminar.net,NA,NA,1504-4831,English,Lillehammer University College,Norway,FALSE,FALSE,2006-02-10T10:09:08Z,NA
Norsk Tidsskrift for Misjonsvitenskap,Norwegian Journal of Missiology,1504-6605,2464-1936,"Danish, Swedish, Norwegian Nynorsk, Norwegian, English","MF Norwegian School of Theology, Religion and Society",Norway,FALSE,FALSE,2020-04-20T09:51:27Z,NA
Tidsskriftet FoU i Praksis,NA,1504-6893,1890-6990,Norwegian,Fagbokforlaget,Norway,TRUE,FALSE,2018-02-28T08:32:43Z,672.6840000000001
Søkelys på Arbeidslivet,Norwegian Journal of Working Life Studies,1504-8004,1504-7989,"Norwegian Bokmål, Norwegian Nynorsk",Universitetsforlaget,Norway,FALSE,FALSE,2017-04-27T12:16:16Z,NA
Acta Didactica Norge,NA,1504-9922,NA,"Danish, English, Norwegian Bokmål, Swedish",University of Oslo,Norway,FALSE,FALSE,2007-11-27T13:44:45Z,NA
Paedagogia Christiana,NA,1505-6872,2451-1951,"English, Polish",Nicolaus Copernicus University in Toruń,Poland,FALSE,FALSE,2020-10-21T20:32:46Z,NA
Acta Universitatis Lodziensis. Folia Litteraria Polonica,NA,1505-9057,2353-1908,"English, Polish",Lodz University Press,Poland,FALSE,FALSE,2018-10-29T16:43:27Z,NA
Acta Universitatis Lodziensis: Folia Litteraria Romanica,NA,1505-9065,2449-8831,"English, French",Lodz University Press,Poland,FALSE,FALSE,2019-06-11T09:00:47Z,NA
Zeszyty Naukowe Małopolskiej Wyższej Szkoły Ekonomicznej w Tarnowie,Research Papers Collection (The Małopolska School of Economics in Tarnów),1506-2635,2658-1817,"English, Polish","Malopolska School of Economics in Tarnow, Poland",Poland,FALSE,FALSE,2021-03-29T07:55:40Z,NA
Biblioteka,NA,1506-3615,2391-5838,"English, Polish","Adam Mickiewicz University, Poznan",Poland,FALSE,FALSE,2016-01-25T11:17:49Z,NA
Zeszyty Wiejskie,NA,1506-6541,2657-4373,"Polish, Russian",Lodz University Press,Poland,FALSE,FALSE,2020-11-09T16:29:33Z,NA
Optimum,Optimum: Economic Studies,1506-7637,NA,"English, Polish",University of Bialystok,Poland,FALSE,FALSE,2019-03-19T09:22:17Z,NA
Nuclear Medicine Review,NA,1506-9680,1644-4345,English,Via Medica,Poland,FALSE,FALSE,2016-01-28T13:24:34Z,NA
Reports of Practical Oncology and Radiotherapy,NA,1507-1367,2083-4640,English,Via Medica sp. z.o.o. VM Group Via Medica,Poland,FALSE,FALSE,2021-06-22T09:55:13Z,NA
Edukacja Ustawiczna Dorosłych,Polish Journal of Continuing Education,1507-6563,2391-8020,"English, Polish, German, Russian",Łukasiewicz Research Network – The Institute for Sustainable Technologies,Poland,FALSE,FALSE,2021-02-26T14:23:52Z,NA
Comparative Economic Research,NA,1508-2008,2082-6737,English,Sciendo,Poland,FALSE,FALSE,2015-06-10T13:02:18Z,NA
Computer Science,NA,1508-2806,2300-7036,English,AGH University of Science and Technology Press,Poland,FALSE,FALSE,2015-07-14T16:10:51Z,NA
Er(r)go,"Er(r)go : teoria, literatura, kultura",1508-6305,2544-3186,"Polish, English",University of Silesia Press,Poland,FALSE,FALSE,2021-01-12T14:32:02Z,NA
Elpis,NA,1508-7719,NA,"Russian, Polish, English",Wydawnictwo Uniwersytetu w Białymstoku,Poland,FALSE,FALSE,2015-07-22T11:32:56Z,NA
Discussiones Mathematicae - General Algebra and Applications,NA,1509-9415,2084-0373,English,Sciendo,Poland,FALSE,FALSE,2018-01-23T12:11:24Z,NA
Agrociencia,NA,1510-0839,2301-1548,"Portuguese, Spanish, English",Universidad de la República,Uruguay,FALSE,FALSE,2015-12-30T14:07:37Z,NA
Cuadernos de Investigación Educativa,NA,1510-2432,1688-9304,"Spanish, English",Universidad ORT Uruguay,Uruguay,FALSE,FALSE,2021-02-14T13:44:42Z,NA
Revista de Derecho,NA,1510-3714,2393-6193,Spanish,Universidad Católica del Uruguay,Uruguay,FALSE,FALSE,2019-04-12T19:25:52Z,NA
Humanidades,Humanidades: Revista de la Universidad de Montevideo,1510-5024,2301-1629,Spanish,Universidad de Montevideo,Uruguay,FALSE,FALSE,2019-02-10T19:33:07Z,NA
InMediaciones de la Comunicación,NA,1510-5091,1688-8626,"Spanish, Portuguese, Spanish",Universidad ORT Uruguay,Uruguay,FALSE,FALSE,2019-06-23T00:22:33Z,NA
Memoria de Trabajos de Difusión Científica y Técnica,NA,1510-7450,1688-9584,"English, Spanish",Universidad de Montevideo,Uruguay,FALSE,FALSE,2013-06-13T19:00:21Z,NA
International Islamic University Malaysia Engineering Journal,IIUM Engineering Journal,1511-788X,2289-7860,English,"IIUM Press, International Islamic University Malaysia",Malaysia,TRUE,FALSE,2015-05-08T13:41:04Z,140
MALIM: Jurnal Pengajian Umum Asia Tenggara,MALIM,1511-8398,2289-5183,"English, Malay (macrolanguage)",Penerbit UKM,Malaysia,FALSE,FALSE,2020-05-18T14:43:37Z,NA
ეკონომიკური პროფილი,Economic Profile,1512-3901,2587-5310,"Georgian, English",Kutaisi University,Georgia,FALSE,FALSE,2021-05-12T07:37:30Z,NA
Bosniaca,NA,1512-5033,2303-8888,"Bosnian, Croatian, Serbian, English",The National and University Library of Bosnia and Herzegovina,Bosnia and Herzegovina,FALSE,FALSE,2021-01-22T07:55:02Z,NA
Geodetski Glasnik,Journal of the Union of Associations of Geodetic Professionals in Bosnia and Herzegovina,1512-6102,2233-1786,"Bosnian, Croatian, English, Serbian",Union of Associations of Geodetic Professionals in Bosnia and Herzegovina,Bosnia and Herzegovina,FALSE,FALSE,2015-08-08T09:02:05Z,NA
Acta Economica,NA,1512-858X,2232-738X,English,"University of Banja Luka, Faculty of Economics",Bosnia and Herzegovina,FALSE,FALSE,2019-05-27T16:07:33Z,NA
Bosnian Journal of Basic Medical Sciences,NA,1512-8601,1840-4812,English,Association of Basic Medical Sciences of Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,TRUE,TRUE,2010-03-23T09:22:04Z,1173.663195
Economic Review,Ekonomska Revija,1512-8962,2303-680X,English,"Faculty of Economics, University of Tuzla",Bosnia and Herzegovina,FALSE,FALSE,2021-06-07T15:19:35Z,NA
Prajna Vihara,NA,1513-6442,2586-9876,English,Guna Chakra Research Center,Thailand,FALSE,FALSE,2018-05-29T09:35:51Z,NA
Asian Pacific Journal of Cancer Prevention,NA,1513-7368,2476-762X,English,West Asia Organization for Cancer Prevention,"Iran, Islamic Republic of",TRUE,TRUE,2017-12-18T14:47:03Z,200
Prohistoria,NA,1514-0032,1851-9504,"Portuguese, Spanish",Grupo Prohistoria,Argentina,FALSE,FALSE,2012-05-02T09:31:18Z,NA
Educación Física y Ciencia,NA,1514-0105,2314-2561,"Spanish, English, Portuguese",Universidad Nacional de La Plata,Argentina,FALSE,FALSE,2014-07-09T11:26:35Z,NA
Journal of Applied Economics,NA,1514-0326,1667-6726,English,Taylor & Francis Group,United Kingdom,TRUE,TRUE,2019-04-08T11:11:11Z,1000
Circe de Clásicos y Modernos,NA,1514-3333,1851-1724,Spanish,Universidad Nacional de La Pampa,Argentina,FALSE,FALSE,2020-06-03T16:06:09Z,NA
Avances del Cesor,NA,1514-3899,2422-6580,"English, Portuguese, Spanish",Universidad Nacional de Rosario,Argentina,FALSE,FALSE,2016-08-15T10:53:34Z,NA
Serie Correlación Geológica,NA,1514-4186,1666-9479,Spanish,Instituto Superior de Correlación Geológica,Argentina,FALSE,FALSE,2011-08-08T08:52:46Z,NA
Revista del Museo Argentino de Ciencias Naturales,NA,1514-5158,1853-0400,"English, Spanish",Museo Argentino de Ciencias Naturales Bernardino Rivadavia e Instituto Nacional de Investigación de las Ciencias Naturales,Argentina,FALSE,FALSE,2012-05-02T13:41:44Z,NA
Cuadernos de Historia: Serie Economía y Sociedad,NA,1514-5816,2422-7544,Spanish,Universidad Nacional de Córdoba,Argentina,FALSE,FALSE,2019-06-21T18:04:23Z,NA
Trabajo y Sociedad,NA,NA,1514-6871,"Portuguese, Spanish",Universidad Nacional de Santiago del Estero,Argentina,FALSE,FALSE,2012-05-02T14:59:05Z,NA
El Cardo,NA,1514-7347,1851-1562,"English, Spanish",Universidad Nacional de Entre Ríos,Argentina,FALSE,FALSE,2021-05-16T09:54:20Z,NA
Revista Argentina de Antropología Biológica,NA,1514-7991,1853-6387,Spanish,Asociación de Antropología Biológica Argentina,Argentina,FALSE,FALSE,2011-05-23T08:48:05Z,NA
"Información, Cultura y Sociedad",NA,1514-8327,1851-1740,"Portuguese, Spanish",Universidad de Buenos Aires,Argentina,FALSE,FALSE,2010-08-03T10:54:05Z,NA
"Anales de Historia Antigua, Medieval y Moderna",NA,1514-9927,1853-1555,Spanish,"Universidad de Buenos Aires, Facultad de Filosofía y Letras",Argentina,FALSE,FALSE,2020-10-29T20:19:12Z,NA
Olivar: Revista de Literatura y Cultura Españolas,NA,1515-1115,1852-4478,"Portuguese, English, Spanish",Universidad Nacional de La Plata,Argentina,FALSE,FALSE,2012-04-27T12:55:06Z,NA
Revista de la Asociación Argentina de Ortopedia y Traumatologia,NA,1515-1786,1852-7434,"English, Spanish",Asociacion Argentina de Ortopedia y Traumatologia,Argentina,FALSE,FALSE,2017-01-17T10:29:10Z,NA
Ciencia Veterinaria,NA,1515-1883,1853-8495,Spanish,Universidad Nacional de La Pampa,Argentina,FALSE,FALSE,2020-06-05T18:01:50Z,NA
Psicodebate,"Revista Psicodebate: Psicología, Cultura y Sociedad",1515-2251,2451-6600,"English, Portuguese, Spanish",Universidad de Palermo,Argentina,FALSE,FALSE,2016-05-17T14:09:32Z,NA
Intersecciones en Comunicación,NA,1515-2332,2250-4184,Spanish,Facultad de Ciencias Sociales Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina,FALSE,FALSE,2020-10-16T19:55:02Z,NA
Contabilidad y Auditoría,NA,1515-2340,1852-446X,"Portuguese, Spanish",Universidad de Buenos Aires,Argentina,FALSE,FALSE,2020-11-04T18:40:48Z,NA
Avá,Avá : Revista de Antropología,1515-2413,1851-1694,"Portuguese, Spanish",Universidad Nacional de Misiones,Argentina,FALSE,FALSE,2012-04-26T13:55:07Z,NA
Relaciones Internacionales,NA,1515-3371,2314-2766,Spanish,Universidad Nacional de La Plata,Argentina,FALSE,FALSE,2017-12-06T14:30:35Z,NA
Del Prudente Saber y el Máximo Posible de Sabor,NA,1515-3576,2618-4141,Spanish,Universidad Nacional de Entre Ríos. Facultad de Ciencias de la Educación,Argentina,FALSE,FALSE,2020-11-05T20:07:59Z,NA
Culturas,Culturas: Debates y Perspectivas de un Mundo en Cambio,1515-3738,2362-5538,Spanish,Universidad Nacional del Litoral,Argentina,FALSE,FALSE,2019-04-14T03:41:49Z,NA
Mundo Agrario,NA,NA,1515-5994,"English, French, Portuguese, Spanish",Universidad Nacional de La Plata,Argentina,FALSE,FALSE,2007-01-15T16:12:11Z,NA
Estudios Socioterritoriales: Revista de Geografía,NA,1515-6206,1853-4392,Spanish,Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina,FALSE,FALSE,2013-10-08T16:12:24Z,NA
Estudios de Filosofía Práctica e Historia de las Ideas,NA,1515-7180,1851-9490,"English, Portuguese, Spanish","Grupo de investigación de Filosofía Práctica e Historia de las Ideas INCIHUSA Instituto de Ciencias Humanas, Sociales y Ambientales CCT Centro Científico Tecnológico Mendoza - CONICET",Argentina,FALSE,FALSE,2017-05-02T16:53:03Z,NA
Espacios en Blanco. Serie Indagaciones,NA,1515-9485,2313-9927,"Portuguese, Spanish",Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina,FALSE,FALSE,2020-09-04T19:40:00Z,NA
Revista Quaestio Iuris,NA,NA,1516-0351,"English, Portuguese, Spanish",Universidade do Estado do Rio de Janeiro,Brazil,FALSE,FALSE,2014-06-04T13:41:51Z,NA
Revista Brasileira de Plantas Medicinais,RBPM,1516-0572,1983-084X,"English, Portuguese, Spanish",Universidade Estadual Paulista,Brazil,TRUE,FALSE,2012-05-09T09:36:56Z,58.0128
Materials Research,Revista Ibero-Americana de Materiais,1516-1439,NA,English,Associação Brasileira de Metalurgia e Materiais (ABM); Associação Brasileira de Cerâmica (ABC); Associação Brasileira de Polímeros (ABPol),Brazil,FALSE,FALSE,2004-04-23T21:31:00Z,NA
Ágora: Estudos em Teoria Psicanalítica,Agora,1516-1498,NA,Portuguese,Universidade Federal do Rio de Janeiro,Brazil,FALSE,FALSE,2005-10-07T11:45:53Z,NA
RDE: Revista de Desenvolvimento Econômico,RDE,1516-1684,2178-8022,Portuguese,Universidade Salvador (UNIFACS),Brazil,FALSE,FALSE,2019-02-17T23:00:30Z,NA
Caderno de Administração,Cad ADM,1516-1803,2238-1465,Portuguese,Universidade Estadual de Maringá,Brazil,FALSE,FALSE,2019-10-27T18:39:14Z,NA
Revista CEFAC,NA,1516-1846,1982-0216,"English, Portuguese",CEFAC Saúde e Educação,Brazil,TRUE,FALSE,2007-07-31T16:48:48Z,200
Licere,Revista do Programa de Pós-graduação Interdisciplinar em Estudos do Lazer,1516-2168,1981-3171,"French, English, Spanish, Portuguese",Programa de Pós-Graduação Interdisciplinar em Estudos do lazer,Brazil,FALSE,FALSE,2021-02-23T14:27:57Z,NA
Kairós Gerontologia,NA,1516-2567,2176-901X,"Spanish, Portuguese, English",Pontifícia Universidade Católica de São Paulo,Brazil,FALSE,FALSE,2016-02-11T20:02:02Z,NA
Signum: Estudos da Linguagem,Signum,1516-3083,2237-4876,"Spanish, Portuguese, Italian, French, English",Universidade Estadual de Londrina,Brazil,FALSE,FALSE,2013-08-16T14:38:45Z,NA
Serviço Social em Revista,NA,1516-3091,1679-4842,"English, Portuguese, Spanish",Universidade Estadual de Londrina (UEL),Brazil,FALSE,FALSE,2016-06-09T14:43:53Z,NA
São Paulo Medical Journal,NA,1516-3180,1806-9460,English,Associação Paulista de Medicina,Brazil,FALSE,FALSE,2016-11-21T15:10:35Z,NA
Revista Brasileira de Zootecnia,NA,1516-3598,1806-9290,"English, Portuguese, Spanish",Sociedade Brasileira de Zootecnia,Brazil,TRUE,FALSE,2004-04-23T21:31:01Z,198.017024
Cadernos de Psicologia Social do Trabalho,NA,1516-3717,1981-0490,Portuguese,Universidade de São Paulo (USP),Brazil,FALSE,FALSE,2020-05-29T16:22:56Z,NA
Bioscience Journal,NA,1516-3725,1981-3163,English,Universidade Federal de Uberlândia,Brazil,TRUE,FALSE,2020-08-05T14:41:26Z,500
Revista de Ciências da Administração : RCA,NA,1516-3865,2175-8077,Portuguese,Universidade Federal de Santa Catarina,Brazil,FALSE,FALSE,2010-06-24T11:46:01Z,NA
Scripta,Revista Scripta,1516-4039,2358-3428,Portuguese,Pontifícia Universidade Católica de Minas Gerais,Brazil,FALSE,FALSE,2017-07-08T21:29:13Z,NA
Revista Raega: O Espaço Geográfico em Análise,Revista Raega,1516-4136,2177-2738,"English, Portuguese, Spanish",Universidade Federal do Paraná,Brazil,FALSE,FALSE,2017-04-29T19:27:09Z,NA
Revista de Direito Sanitário,NA,1516-4179,2316-9044,"Spanish, Portuguese, French, English",Universidade de São Paulo,Brazil,FALSE,FALSE,2015-12-18T11:10:26Z,NA
Significação: Revista de Cultura Audiovisual,NA,1516-4330,2316-7114,"English, Portuguese, Spanish",Universidade de São Paulo,Brazil,FALSE,FALSE,2015-08-11T19:37:17Z,NA
Conexões,NA,1516-4381,1983-9030,Portuguese,Universidade Estadual de Campinas,Brazil,FALSE,FALSE,2018-07-31T14:06:08Z,NA
Brazilian Journal of Psychiatry,Revista Brasileira de Psiquiatria,1516-4446,1809-452X,"English, Portuguese",Associação Brasileira de Psiquiatria (ABP),Brazil,FALSE,FALSE,2004-04-23T21:31:01Z,NA
Revista da Faculdade de Direito do Sul de Minas,Revista da FDSM,1516-4551,NA,Portuguese,Faculdade de Direito do Sul de Minas,Brazil,FALSE,FALSE,2016-05-10T10:10:18Z,NA
Via Atlântica,NA,1516-5159,2317-8086,"Portuguese, English, French, Italian, Spanish",Universidade de São Paulo (USP),Brazil,FALSE,FALSE,2019-03-31T01:51:23Z,NA
"Direito, Estado e Sociedade",NA,1516-6104,1982-0879,Portuguese,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,FALSE,FALSE,2017-09-25T18:17:50Z,NA
Revista Outubro,NA,1516-6333,NA,Portuguese,Revista Outubro,Brazil,FALSE,FALSE,2017-01-04T13:40:40Z,NA
Brazilian Journal of Poultry Science,Revista Brasileira de Ciência Avícola,1516-635X,1806-9061,English,Fundação APINCO de Ciência e Tecnologia Avícolas,Brazil,TRUE,FALSE,2004-04-23T21:31:01Z,400
Novos Cadernos NAEA,Novos Cad. NAEA,1516-6481,2179-7536,Portuguese,Universidade Federal do Pará,Brazil,FALSE,FALSE,2014-05-16T14:23:27Z,NA
Ciência & Educação,Ciência y Educação,1516-7313,1980-850X,"English, Portuguese, Spanish",Universidade Estadual Paulista,Brazil,FALSE,FALSE,2007-11-15T11:54:46Z,NA
Revista da Casa da Geografia de Sobral,NA,1516-7712,2316-8056,Portuguese,Universidade Estadual Vale do Acaraú,Brazil,FALSE,FALSE,2020-08-21T16:10:57Z,NA
Revista da Sociedade Brasileira de Fonoaudiologia,NA,1516-8034,1982-0232,"English, Portuguese",Sociedade Brasileira de Fonoaudiologia,Brazil,FALSE,FALSE,2007-08-01T10:30:03Z,NA
Revista Brasileira de Hematologia e Hemoterapia,NA,1516-8484,1806-0870,English,Elsevier,Netherlands,FALSE,TRUE,2004-04-23T21:31:01Z,NA
ArtCultura,NA,1516-8603,2178-3845,"English, Portuguese, Spanish",Editora da Universidade Federal de Uberlândia,Brazil,FALSE,TRUE,2020-07-17T08:19:21Z,NA
Brazilian Archives of Biology and Technology,NA,1516-8913,1678-4324,English,Instituto de Tecnologia do Paraná (Tecpar),Brazil,FALSE,FALSE,2004-04-23T21:31:00Z,NA
Revista Espaço e Geografia,EEG,NA,1516-9375,"English, French, Portuguese, Spanish",departamento de geografia,Brazil,FALSE,FALSE,2017-06-30T10:40:11Z,NA
Trabalho & Educação,Revista Trabalho & Educação,1516-9537,2238-037X,Portuguese,Universidade Federal de Minas Gerais,Brazil,FALSE,FALSE,2020-10-25T10:06:02Z,NA
Revista Principia,Principia,1517-0306,2447-9187,Portuguese,Editora IFPB,Brazil,FALSE,FALSE,2017-04-12T09:51:41Z,NA
Alea: Estudos Neolatinos,NA,1517-106X,NA,Portuguese,Unversidade Federal do Rio de Janeiro,Brazil,FALSE,FALSE,2005-03-24T10:37:09Z,NA
Em Tempo de Histórias,Em Tempo de Historias,1517-1108,2316-1191,"Portuguese, Spanish",Universidade de Brasília,Brazil,FALSE,FALSE,2011-07-25T14:57:58Z,NA
EccoS  Revista Científica,NA,1517-1949,1983-9278,Portuguese,Universidade Nove de Julho,Brazil,FALSE,FALSE,2018-01-23T17:14:46Z,NA
Cadernos Metrópole,NA,1517-2422,2236-9996,"Portuguese, Spanish",Editora da Pontifícia Universidade Católica de São Paulo,Brazil,FALSE,FALSE,2015-11-06T15:41:15Z,NA
Revista UniVap,NA,1517-3275,2237-1753,Portuguese,Universidade do Vale do Paraíba,Brazil,FALSE,FALSE,2014-06-28T13:54:24Z,NA
Líbero,NA,1517-3283,2525-3166,"Portuguese, Spanish",Faculdade Cásper Líbero,Brazil,FALSE,FALSE,2017-08-05T09:42:42Z,NA
Caminhos da História,NA,1517-3771,2317-0875,Portuguese,Universidade Estadual de Montes Claros,Brazil,FALSE,FALSE,2020-07-04T16:36:40Z,NA
Rev Rene,Revista da Rede de Enfermagem do Nordeste,1517-3852,2175-6783,"English, Portuguese",Universidade Federal do Ceará,Brazil,TRUE,FALSE,2016-02-24T19:21:59Z,154.7008
Educação Matemática em Revista,NA,1517-3941,2317-904X,Portuguese,Sociedade Brasileira de Educação Matemática,Brazil,FALSE,FALSE,2017-09-12T18:05:01Z,NA
Revista Brasileira de Estudos Urbanos e Regionais,NA,1517-4115,2317-1529,"English, Portuguese, Spanish",Associação Nacional de Pós-Graduação e Pesquisa em Planejamento Urbano e Regional (ANPUR),Brazil,FALSE,FALSE,2017-09-08T17:20:07Z,NA
Sociologias,NA,1517-4522,1807-0337,"Portuguese, Spanish",Universidade Federal do Rio Grande do Sul,Brazil,FALSE,FALSE,2004-04-23T21:31:01Z,NA
Filologia e Linguística Portuguesa,FLP: Filologia e Linguistica Portuguesa,1517-4530,2176-9419,"English, French, Portuguese, Spanish",Universidade de São Paulo,Brazil,FALSE,FALSE,2011-10-07T12:30:44Z,NA
Formação,Revista Formação,1517-543X,2178-7298,Portuguese,Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP),Brazil,FALSE,FALSE,2018-11-21T01:54:18Z,NA
Interseções,Revista de Estudo Interdisciplinares,1517-6088,2317-1456,Portuguese,Universidade do Estado do Rio de Janeiro,Brazil,FALSE,FALSE,2020-05-16T21:13:02Z,NA
Revista Thema,NA,1517-6312,2177-2894,Portuguese,"Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio-Grandense",Brazil,FALSE,FALSE,2017-04-25T14:34:09Z,NA
Pretexto,Revista PRETEXTO,1517-672X,1984-6983,"English, Portuguese, Spanish",Universidade FUMEC,Brazil,FALSE,FALSE,2013-04-29T20:25:06Z,NA
Matéria,NA,NA,1517-7076,"English, Portuguese, Spanish",Universidade Federal do Rio de Janeiro,Brazil,FALSE,FALSE,2017-01-19T12:14:19Z,NA
EconomiA,NA,1517-7580,2358-2820,English,Elsevier,Netherlands,FALSE,TRUE,2015-11-17T19:51:04Z,NA
Per Musi,NA,1517-7599,NA,"English, Portuguese, Spanish",Escola de Música da UFMG,Brazil,FALSE,FALSE,2012-05-08T09:08:27Z,NA
Archives of Veterinary Science,NA,1517-784X,2317-6822,"English, Portuguese",Universidade Federal do Paraná,Brazil,FALSE,FALSE,2021-07-15T06:11:22Z,NA
Temas em Educação e Saúde,NA,1517-7947,2526-3471,"English, Portuguese, Spanish","Universidade Estadual Paulista, Faculdade de Ciências e Letras de Araraquara",Brazil,FALSE,FALSE,2017-11-02T16:56:12Z,NA
Revista da Faculdade de Ciências Médicas de Sorocaba,NA,1517-8242,1984-4840,Portuguese,Pontifícia Universidade Católica de São Paulo,Brazil,FALSE,FALSE,2011-11-23T14:19:09Z,NA
Brazilian Journal of Microbiology,NA,1517-8382,1678-4405,English,Sociedade Brasileira de Microbiologia,Brazil,TRUE,FALSE,2004-04-23T21:31:00Z,300
Revista Brasileira de Medicina do Esporte,NA,1517-8692,1806-9940,"English, Portuguese",Sociedade Brasileira de Medicina do Esporte,Brazil,TRUE,FALSE,2004-04-23T21:31:01Z,154.7008
Faces: Revista de Administração,NA,1517-8900,1984-6975,"English, Portuguese, Spanish",Universidade Fumec,Brazil,FALSE,TRUE,2010-05-04T16:39:48Z,NA
Enfoque : Reflexão Contábil,NA,1517-9087,1984-882X,Portuguese,Universidade Estadual de Maringá,Brazil,FALSE,FALSE,2011-05-04T10:05:29Z,NA
Gênero,Revista Gênero,1517-9699,2316-1108,Portuguese,Universidade Federal Fluminense (UFF),Brazil,FALSE,FALSE,2020-10-23T19:02:55Z,NA
Educação e Pesquisa,Education and Research,1517-9702,1678-4634,"English, Portuguese, Spanish",Universidade de São Paulo,Brazil,FALSE,FALSE,2004-04-23T21:31:00Z,NA
Educação: Teoria e Prática,NA,1517-9869,1981-8106,Portuguese,Universidade Estadual Paulista Júlio de Mesquita Filho,Brazil,FALSE,FALSE,2016-11-25T14:57:24Z,NA
Estudos de Literatura Brasileira Contemporânea,NA,1518-0158,2316-4018,"Portuguese, Spanish",Universidade de Brasília,Brazil,FALSE,FALSE,2015-11-05T12:23:51Z,NA
Movimento,"Movimento, Revista de Educação",1518-0344,2359-3296,Portuguese,Universidade Federal Fluminense (UFF),Brazil,FALSE,FALSE,2017-10-26T12:25:38Z,NA
Revista de Ciências Exatas e Naturais,NA,1518-0352,2175-5620,"English, Portuguese",Universidade Estadual do Centro-Oeste,Brazil,FALSE,FALSE,2018-01-23T13:40:19Z,NA
ABEI Journal,NA,1518-0581,2595-8127,"English, Portuguese",Associação Brasileira de Estudos Irlandeses,Brazil,FALSE,FALSE,2020-10-13T20:10:13Z,NA
Meridiano 47,NA,NA,1518-1219,"English, Portuguese",Instituto Brasileiro de Relações Internacionais,Brazil,FALSE,FALSE,2010-04-13T10:40:18Z,NA
