affiliationid,normalizedname,displayname,university_normalized,University,Country
142934699,california state university fullerton,"California State University, Fullerton","california state university, fullerton",NA,NA
144693123,university of buea,University of Buea,university of buea,NA,NA
146279334,aluminum corporation of china limited,Aluminum Corporation of China Limited,aluminum corporation of china limited,NA,NA
148518341,the cyprus institute,The Cyprus Institute,the cyprus institute,NA,NA
150037166,central food technological research institute,Central Food Technological Research Institute,central food technological research institute,NA,NA
153610741,tyco international,Tyco International,tyco international,NA,NA
155417937,bonn rhein sieg university of applied sciences,Bonn-Rhein-Sieg University of Applied Sciences,bonn-rhein-sieg university of applied sciences,NA,NA
166496187,gravity research foundation,Gravity Research Foundation,gravity research foundation,NA,NA
169655526,university of arkansas at monticello,University of Arkansas at Monticello,university of arkansas at monticello,NA,NA
178710411,penn state fayette the eberly campus,"Penn State Fayette, The Eberly Campus","penn state fayette, the eberly campus",NA,NA
192597271,cognition and brain sciences unit,Cognition and Brain Sciences Unit,cognition and brain sciences unit,NA,NA
196442339,petrofac,Petrofac,petrofac,NA,NA
198423848,national institute for occupational safety and health,National Institute for Occupational Safety and Health,national institute for occupational safety and health,NA,NA
202611299,university of wisconsin colleges,University of Wisconsin Colleges,university of wisconsin colleges,NA,NA
206945453,university of paderborn,University of Paderborn,university of paderborn,NA,NA
243246998,international association of engineers,International Association of Engineers,international association of engineers,NA,NA
249726346,royal australasian college of physicians,Royal Australasian College of Physicians,royal australasian college of physicians,NA,NA
250200457,mkcg medical college and hospital,MKCG Medical College and Hospital,mkcg medical college and hospital,NA,NA
274899335,university of atlantico,University of Atlántico,university of atlantico,NA,NA
311639361,tezukayama gakuin university,Tezukayama Gakuin University,tezukayama gakuin university,NA,NA
319079062,instituto tecnologico de santo domingo,Instituto Tecnológico de Santo Domingo,instituto tecnologico de santo domingo,NA,NA
331023804,academia chilena de la lengua,Academia Chilena de la Lengua,academia chilena de la lengua,NA,NA
347606037,endo international plc,Endo International plc,endo international plc,NA,NA
864159182,university of silesia in katowice,University of Silesia in Katowice,university of silesia in katowice,University of Silesia in Katowice,Poland
870458005,rolf c hagen group,Rolf C. Hagen Group,rolf c. hagen group,NA,NA
884438115,intermec,Intermec,intermec,NA,NA
899382313,bainbridge state college,Bainbridge State College,bainbridge state college,NA,NA
916916085,international aero engines,International Aero Engines,international aero engines,NA,NA
1279627166,new south wales department of corrective services,New South Wales Department of Corrective Services,new south wales department of corrective services,NA,NA
1280536761,ames research center,Ames Research Center,ames research center,NA,NA
1283675802,office of population censuses and surveys,Office of Population Censuses and Surveys,office of population censuses and surveys,NA,NA
1303691731,european molecular biology organization,European Molecular Biology Organization,european molecular biology organization,NA,NA
1306486109,dublin institute for advanced studies,Dublin Institute for Advanced Studies,dublin institute for advanced studies,NA,NA
1309191912,research triangle park,Research Triangle Park,research triangle park,NA,NA
1314233306,oncomed,OncoMed,oncomed,NA,NA
1322018327,new brunswick department of natural resources,New Brunswick Department of Natural Resources,new brunswick department of natural resources,NA,NA
1323015784,drug enforcement administration,Drug Enforcement Administration,drug enforcement administration,NA,NA
1324316438,lsi corporation,LSI Corporation,lsi corporation,NA,NA
1327474241,veterinary laboratories agency,Veterinary Laboratories Agency,veterinary laboratories agency,NA,NA
1334053615,rainbow hospitals,Rainbow Hospitals,rainbow hospitals,NA,NA
1343173386,nitero,Nitero,nitero,NA,NA
2799431839,patton state hospital,Patton State Hospital,patton state hospital,NA,NA
2799549194,san antonio museum of art,San Antonio Museum of Art,san antonio museum of art,NA,NA
2799773763,mississippi delta community college,Mississippi Delta Community College,mississippi delta community college,NA,NA
2799831319,feeding america,Feeding America,feeding america,NA,NA
2799859190,infocomm development authority of singapore,Infocomm Development Authority of Singapore,infocomm development authority of singapore,NA,NA
2799967138,alliance for excellent education,Alliance for Excellent Education,alliance for excellent education,NA,NA
2800067091,british society for the history of science,British Society for the History of Science,british society for the history of science,NA,NA
2800088053,irish congress of trade unions,Irish Congress of Trade Unions,irish congress of trade unions,NA,NA
2800130264,university of the third age,University of the Third Age,university of the third age,NA,NA
2800249161,military university of technology in warsaw,Military University of Technology in Warsaw,military university of technology in warsaw,NA,NA
2800340543,indian institute of ecology and environment,Indian Institute of Ecology and Environment,indian institute of ecology and environment,NA,NA
2800589340,algerian petroleum institute,Algerian Petroleum Institute,algerian petroleum institute,NA,NA
2800785840,library of parliament,Library of Parliament,library of parliament,NA,NA
2800938575,jain foundation,Jain Foundation,jain foundation,NA,NA
2801041560,manchester city council,Manchester City Council,manchester city council,NA,NA
2801091330,hallmark university,Hallmark University,hallmark university,NA,NA
2801222929,european cancer organisation,European CanCer Organisation,european cancer organisation,NA,NA
2801289597,association for women in mathematics,Association For Women in Mathematics,association for women in mathematics,NA,NA
2801365540,mississippi gulf coast community college,Mississippi Gulf Coast Community College,mississippi gulf coast community college,NA,NA
2801410702,svalbard global seed vault,Svalbard Global Seed Vault,svalbard global seed vault,NA,NA
2801468123,state library of new south wales,State Library of New South Wales,state library of new south wales,NA,NA
2801642670,vodafone greece,Vodafone (Greece),vodafone (greece),NA,NA
2801815002,leicester college,Leicester College,leicester college,NA,NA
2801840528,estrella mountain community college,Estrella Mountain Community College,estrella mountain community college,NA,NA
2802898700,allegheny county,Allegheny County,allegheny county,NA,NA
2802958030,hackney community college,Hackney Community College,hackney community college,NA,NA
2915433752,midwives college of utah,Midwives College of Utah,midwives college of utah,NA,NA
2998552023,mexican american legal defense and educational fund,Mexican American Legal Defense and Educational Fund,mexican american legal defense and educational fund,NA,NA
16097986,university of valencia,University of Valencia,university of valencia,University of Valencia,Spain
19700959,florida international university,Florida International University,florida international university,Florida International University,United States
22057252,doosan heavy industries construction,Doosan Heavy Industries & Construction,doosan heavy industries & construction,NA,NA
22749227,tottori university of environmental studies,Tottori University of Environmental Studies,tottori university of environmental studies,NA,NA
24873995,warner chilcott,Warner Chilcott,warner chilcott,NA,NA
28908959,unite,Unité,unite,NA,NA
33924745,samsung electro mechanics,Samsung Electro-Mechanics,samsung electro-mechanics,NA,NA
35344726,united states public health service,United States Public Health Service,united states public health service,NA,NA
39727005,dow university of health sciences,Dow University of Health Sciences,dow university of health sciences,NA,NA
41431386,noble energy,Noble Energy,noble energy,NA,NA
53236636,franklin university,Franklin University,franklin university,NA,NA
63601056,menoufia university,Menoufia University,menoufia university,NA,NA
68145777,central institute of medicinal and aromatic plants,Central Institute of Medicinal and Aromatic Plants,central institute of medicinal and aromatic plants,NA,NA
68687955,kaplan university,Kaplan University,kaplan university,NA,NA
71454806,dynamics research corporation,Dynamics Research Corporation,dynamics research corporation,NA,NA
72600253,malaysian agricultural research and development institute,Malaysian Agricultural Research and Development Institute,malaysian agricultural research and development institute,NA,NA
73343310,medarex,Medarex,medarex,NA,NA
75059550,zhejiang gongshang university,Zhejiang Gongshang University,zhejiang gongshang university,NA,NA
76440524,central virginia community college,Central Virginia Community College,central virginia community college,NA,NA
88459447,novay,Novay,novay,NA,NA
114376631,tomsk state university of control systems and radio electronics,Tomsk State University of Control Systems and Radio-electronics,tomsk state university of control systems and radio-electronics,NA,NA
135863177,grossmont college,Grossmont College,grossmont college,NA,NA
142427241,rocky mountain laboratories,Rocky Mountain Laboratories,rocky mountain laboratories,NA,NA
142732210,university of engineering and technology lahore,"University of Engineering and Technology, Lahore","university of engineering and technology, lahore",NA,NA
146112026,duta wacana christian university,Duta Wacana Christian University,duta wacana christian university,NA,NA
152130510,royal college of nursing,Royal College of Nursing,royal college of nursing,NA,NA
152516533,hellenic naval academy,Hellenic Naval Academy,hellenic naval academy,NA,NA
157717896,northwestern state university,Northwestern State University,northwestern state university,NA,NA
163389970,national institute of science education and research,National Institute of Science Education and Research,national institute of science education and research,NA,NA
170488218,achmea,Achmea,achmea,NA,NA
177064439,university of burgundy,University of Burgundy,university of burgundy,University of Burgundy,France
177844149,advantest,Advantest,advantest,NA,NA
190103667,autonomous university of aguascalientes,Autonomous University of Aguascalientes,autonomous university of aguascalientes,NA,NA
196608512,pes university,PES University,pes university,NA,NA
197065608,kimberly clark,Kimberly-Clark,kimberly-clark,NA,NA
215315750,roseman university of health sciences,Roseman University of Health Sciences,roseman university of health sciences,NA,NA
254352953,aichi bunkyo women s college,Aichi Bunkyo Women's College,aichi bunkyo women's college,NA,NA
263417816,russian presidential academy of national economy and public administration,Russian Presidential Academy of National Economy and Public Administration,russian presidential academy of national economy and public administration,NA,NA
266595603,genmab,Genmab,genmab,NA,NA
297664341,kohler company,Kohler Company,kohler company,NA,NA
344333522,kim chaek university of technology,Kim Chaek University of Technology,kim chaek university of technology,NA,NA
870398029,center for excellence in education,Center for Excellence in Education,center for excellence in education,NA,NA
874792244,european university institute,European University Institute,european university institute,NA,NA
885396881,candela corp,Candela Corp,candela corp,NA,NA
906832008,endocyte,Endocyte,endocyte,NA,NA
920791158,american hotel lodging educational institute,American Hotel & Lodging Educational Institute,american hotel & lodging educational institute,NA,NA
1283834505,the fred hollows foundation,The Fred Hollows Foundation,the fred hollows foundation,NA,NA
1289525096,texas biomedical research institute,Texas Biomedical Research Institute,texas biomedical research institute,NA,NA
1290088995,royal canadian mounted police,Royal Canadian Mounted Police,royal canadian mounted police,NA,NA
1292318990,nuance communications,Nuance Communications,nuance communications,NA,NA
1309988440,indian institute of metals,Indian Institute of Metals,indian institute of metals,NA,NA
1315786102,kam controls,Kam Controls,kam controls,NA,NA
1331796719,irish geological survey,Irish Geological Survey,irish geological survey,NA,NA
1334013776,interstate commerce commission,Interstate Commerce Commission,interstate commerce commission,NA,NA
1341874111,national bank of austria,National Bank of Austria,national bank of austria,NA,NA
1342238530,central soil salinity research institute,Central Soil Salinity Research Institute,central soil salinity research institute,NA,NA
2799275616,melbourne centre for nanofabrication,Melbourne Centre for Nanofabrication,melbourne centre for nanofabrication,NA,NA
2799350497,water and power development authority,Water and Power Development Authority,water and power development authority,NA,NA
2799424111,mayland community college,Mayland Community College,mayland community college,NA,NA
2799540639,canadian mental health association,Canadian Mental Health Association,canadian mental health association,NA,NA
2799614521,royal botanic gardens,Royal Botanic Gardens,royal botanic gardens,NA,NA
2799617311,lakeshore hospital,Lakeshore Hospital,lakeshore hospital,NA,NA
2799762726,new cross hospital,New Cross Hospital,new cross hospital,NA,NA
2800001487,walla walla community college,Walla Walla Community College,walla walla community college,NA,NA
2800110179,oregon department of state lands,Oregon Department of State Lands,oregon department of state lands,NA,NA
2800267295,great yarmouth college,Great Yarmouth College,great yarmouth college,NA,NA
2800354142,wayne community college,Wayne Community College,wayne community college,NA,NA
2800386561,harrisburg area community college,Harrisburg Area Community College,harrisburg area community college,NA,NA
2800392643,indiana space grant consortium,Indiana Space Grant Consortium,indiana space grant consortium,NA,NA
2800401438,hospital universitario de canarias,Hospital Universitario de Canarias,hospital universitario de canarias,NA,NA
2800468723,world horse welfare,World Horse Welfare,world horse welfare,NA,NA
2800501823,food and health bureau,Food and Health Bureau,food and health bureau,NA,NA
2800885372,hellenic telecommunications organization greece,Hellenic Telecommunications Organization (Greece),hellenic telecommunications organization (greece),NA,NA
2800964503,smc corporation japan,SMC Corporation (Japan),smc corporation (japan),NA,NA
2801008851,canadian library association,Canadian Library Association,canadian library association,NA,NA
2801109956,luxun academy of fine arts,Luxun Academy of Fine Arts,luxun academy of fine arts,NA,NA
2801162436,prague security studies institute,Prague Security Studies Institute,prague security studies institute,NA,NA
2801245514,central institute of indian languages,Central Institute of Indian Languages,central institute of indian languages,NA,NA
2801594483,north iowa area community college,North Iowa Area Community College,north iowa area community college,NA,NA
2801798185,connecticut valley hospital,Connecticut Valley Hospital,connecticut valley hospital,NA,NA
2801808499,state corporation commission,State Corporation Commission,state corporation commission,NA,NA
2801928633,liverpool city council,Liverpool City Council,liverpool city council,NA,NA
2802330085,london borough of lewisham,London Borough Of Lewisham,london borough of lewisham,NA,NA
2802351097,great barrier reef marine park authority,Great Barrier Reef Marine Park Authority,great barrier reef marine park authority,NA,NA
2802566253,plymouth marine laboratory,Plymouth Marine Laboratory,plymouth marine laboratory,NA,NA
2802692425,canada council for the arts,Canada Council for the Arts,canada council for the arts,NA,NA
2802712321,old salem museums and gardens,Old Salem Museums and Gardens,old salem museums and gardens,NA,NA
2802776861,esri canada,Esri (Canada),esri (canada),NA,NA
2802776869,trinity bible college,Trinity Bible College,trinity bible college,NA,NA
2803095903,queen margaret hospital,Queen Margaret Hospital,queen margaret hospital,NA,NA
2910509753,new england college of business,New England College of Business,new england college of business,NA,NA
2921105892,conservatory and botanical garden of the city of geneva,Conservatory and Botanical Garden of the City of Geneva,conservatory and botanical garden of the city of geneva,NA,NA
2974547520,southern west virginia community and technical college,Southern West Virginia Community and Technical College,southern west virginia community and technical college,NA,NA
1902872,institut eurecom,Institut Eurécom,institut eurecom,NA,NA
7746217,washington cancer institute,Washington Cancer Institute,washington cancer institute,NA,NA
10285697,ontoprise gmbh,Ontoprise GmbH,ontoprise gmbh,NA,NA
14514860,bijoy krishna girls college,Bijoy Krishna Girls' College,bijoy krishna girls' college,NA,NA
17023605,fti consulting,FTI Consulting,fti consulting,NA,NA
18959387,hitec,Hitec,hitec,NA,NA
24861097,st olaf college,St. Olaf College,st. olaf college,NA,NA
31466659,chapingo autonomous university,Chapingo Autonomous University,chapingo autonomous university,NA,NA
32699454,joint institute for nuclear research,Joint Institute for Nuclear Research,joint institute for nuclear research,NA,NA
35400787,cegep de saint laurent,Cégep de Saint-Laurent,cegep de saint-laurent,NA,NA
35855495,university college roosevelt,University College Roosevelt,university college roosevelt,NA,NA
45430082,la caixa,La Caixa,la caixa,NA,NA
49724424,golden gate baptist theological seminary,Golden Gate Baptist Theological Seminary,golden gate baptist theological seminary,NA,NA
51441396,bauhaus university weimar,"Bauhaus University, Weimar","bauhaus university, weimar",NA,NA
54388099,shijonawate gakuen university,Shijonawate Gakuen University,shijonawate gakuen university,NA,NA
57989654,detroit diesel,Detroit Diesel,detroit diesel,NA,NA
59460038,chung hua university,Chung Hua University,chung hua university,NA,NA
70408896,athenaeum of ohio,Athenaeum of Ohio,athenaeum of ohio,NA,NA
78157498,mcmurry university,McMurry University,mcmurry university,NA,NA
89098413,tokushima bunri university,Tokushima Bunri University,tokushima bunri university,NA,NA
92282534,sarojini naidu college for women,Sarojini Naidu College for Women,sarojini naidu college for women,NA,NA
94636206,mvgr college of engineering,MVGR College of Engineering,mvgr college of engineering,NA,NA
96927051,intesa sanpaolo,Intesa Sanpaolo,intesa sanpaolo,NA,NA
100651130,bhangar mahavidyalaya,Bhangar Mahavidyalaya,bhangar mahavidyalaya,NA,NA
102401767,university of arkansas at little rock,University of Arkansas at Little Rock,university of arkansas at little rock,NA,NA
104941359,al ahliyya amman university,Al-Ahliyya Amman University,al-ahliyya amman university,NA,NA
110092051,brigham young university hawaii,Brigham Young University–Hawaii,brigham young university-hawaii,NA,NA
110730038,mahatma gandhi college,Mahatma Gandhi College,mahatma gandhi college,NA,NA
111196505,lufkin industries,Lufkin Industries,lufkin industries,NA,NA
118004768,midlands technical college,Midlands Technical College,midlands technical college,NA,NA
121780883,praxair,Praxair,praxair,NA,NA
128298796,china merchants bank,China Merchants Bank,china merchants bank,NA,NA
130194489,university of alicante,University of Alicante,university of alicante,University of Alicante,Spain
135987583,kafkas university,Kafkas University,kafkas university,NA,NA
141945490,university of british columbia,University of British Columbia,university of british columbia,University of British Columbia,Canada
143920789,army institute of technology pune,"Army Institute of Technology, Pune","army institute of technology, pune",NA,NA
150993360,hamamatsu photonics,Hamamatsu Photonics,hamamatsu photonics,NA,NA
151808059,colorado school of public health,Colorado School of Public Health,colorado school of public health,NA,NA
152878082,netherlands institute of international relations clingendael,Netherlands Institute of International Relations Clingendael,netherlands institute of international relations clingendael,NA,NA
169635715,the welding institute,The Welding Institute,the welding institute,NA,NA
180060063,kobe tokiwa university,Kobe Tokiwa University,kobe tokiwa university,NA,NA
180680657,iwate medical university,Iwate Medical University,iwate medical university,NA,NA
181397559,asia pacific university of technology innovation,Asia Pacific University of Technology & Innovation,asia pacific university of technology & innovation,NA,NA
182072364,american nuclear society,American Nuclear Society,american nuclear society,NA,NA
188771183,iqra university,Iqra University,iqra university,NA,NA
189977406,university of the andes chile,"University of the Andes, Chile","university of the andes, chile",NA,NA
196530094,siberian state medical university,Siberian State Medical University,siberian state medical university,NA,NA
198604109,psg college of technology,PSG College of Technology,psg college of technology,NA,NA
223893228,china food and drug administration,China Food and Drug Administration,china food and drug administration,NA,NA
239520865,aon hewitt,Aon Hewitt,aon hewitt,NA,NA
287756978,busitema university,Busitema University,busitema university,NA,NA
292934431,vale fertilizantes,Vale Fertilizantes,vale fertilizantes,NA,NA
863278814,eclipse internet,Eclipse Internet,eclipse internet,NA,NA
892937671,hutchinson sa,Hutchinson SA,hutchinson sa,NA,NA
899859998,qiqihar medical university,Qiqihar Medical University,qiqihar medical university,NA,NA
1281375712,manmohan memorial institute of health sciences,Manmohan Memorial Institute of Health Sciences,manmohan memorial institute of health sciences,NA,NA
1298151881,science and development network,Science and Development Network,science and development network,NA,NA
1317634868,national university of educational planning and administration,National University of Educational Planning and Administration,national university of educational planning and administration,NA,NA
1323485962,occupational safety and health administration,Occupational Safety and Health Administration,occupational safety and health administration,NA,NA
1328892508,nationaal archief,Nationaal Archief,nationaal archief,NA,NA
1334995288,national multiple sclerosis society,National Multiple Sclerosis Society,national multiple sclerosis society,NA,NA
1335489744,pan asia technical automotive center,Pan Asia Technical Automotive Center,pan asia technical automotive center,NA,NA
1337163019,adler planetarium,Adler Planetarium,adler planetarium,NA,NA
2799360002,greenfield community college,Greenfield Community College,greenfield community college,NA,NA
2799521192,american institute for medical and biological engineering,American Institute for Medical and Biological Engineering,american institute for medical and biological engineering,NA,NA
2799666402,borsa istanbul turkey,Borsa Istanbul (Turkey),borsa istanbul (turkey),NA,NA
2799711933,henry mayo newhall memorial hospital,Henry Mayo Newhall Memorial Hospital,henry mayo newhall memorial hospital,NA,NA
2799896202,marine conservation alliance,Marine Conservation Alliance,marine conservation alliance,NA,NA
2800018283,shiga junior college,Shiga Junior College,shiga junior college,NA,NA
2800098844,north central michigan college,North Central Michigan College,north central michigan college,NA,NA
2800221785,royal literary fund,Royal Literary Fund,royal literary fund,NA,NA
2800233794,studio museum in harlem,Studio Museum in Harlem,studio museum in harlem,NA,NA
2800295370,whale museum,Whale Museum,whale museum,NA,NA
2800587484,mississippi department of archives and history,Mississippi Department of Archives and History,mississippi department of archives and history,NA,NA
2800696899,yukon river inter tribal watershed council,Yukon River Inter Tribal Watershed Council,yukon river inter tribal watershed council,NA,NA
2801080794,government of thailand,Government of Thailand,government of thailand,NA,NA
2801454379,xishuangbanna tropical botanical garden,Xishuangbanna Tropical Botanical Garden,xishuangbanna tropical botanical garden,NA,NA
2801652441,north idaho college,North Idaho College,north idaho college,NA,NA
2802429487,snc lavalin canada,SNC-Lavalin (Canada),snc-lavalin (canada),NA,NA
2802488035,european food information resource,European Food Information Resource,european food information resource,NA,NA
2802550668,john simon guggenheim memorial foundation,John Simon Guggenheim Memorial Foundation,john simon guggenheim memorial foundation,NA,NA
2802671817,morris animal foundation,Morris Animal Foundation,morris animal foundation,NA,NA
2802724108,oslo national academy of the arts,Oslo National Academy of the Arts,oslo national academy of the arts,NA,NA
2802834038,denver botanic gardens,Denver Botanic Gardens,denver botanic gardens,NA,NA
2802845330,norfolk general hospital,Norfolk General Hospital,norfolk general hospital,NA,NA
195165,unitika ltd,Unitika Ltd.,unitika ltd.,NA,NA
2610724,chemnitz university of technology,Chemnitz University of Technology,chemnitz university of technology,Chemnitz University of Technology,Germany
4068193,university of belgrade,University of Belgrade,university of belgrade,University of Belgrade,Serbia
9158944,human kinetics,Human Kinetics,human kinetics,NA,NA
13541145,italian red cross,Italian Red Cross,italian red cross,NA,NA
16919297,palestinian center for policy and survey research,Palestinian Center for Policy and Survey Research,palestinian center for policy and survey research,NA,NA
19409027,estonian university of life sciences,Estonian University of Life Sciences,estonian university of life sciences,NA,NA
19668297,buckinghamshire new university,Buckinghamshire New University,buckinghamshire new university,NA,NA
24306055,suffolk university,Suffolk University,suffolk university,NA,NA
29894533,charles darwin university,Charles Darwin University,charles darwin university,NA,NA
32610072,center for neural science,Center for Neural Science,center for neural science,NA,NA
39521962,hunan city university,Hunan City University,hunan city university,NA,NA
40734275,hakim sabzevari university,Hakim Sabzevari University,hakim sabzevari university,NA,NA
44999220,victoria university toronto,"Victoria University, Toronto","victoria university, toronto",NA,NA
45391821,gakushuin university,Gakushuin University,gakushuin university,NA,NA
59101510,government college of technology coimbatore,"Government College of Technology, Coimbatore","government college of technology, coimbatore",NA,NA
61893789,freiberg university of mining and technology,Freiberg University of Mining and Technology,freiberg university of mining and technology,NA,NA
67415387,lancaster university,Lancaster University,lancaster university,Lancaster University,United Kingdom
71578895,wind river systems,Wind River Systems,wind river systems,NA,NA
77631543,wuxi institute of technology,Wuxi Institute of Technology,wuxi institute of technology,NA,NA
79211490,sharif university of technology international campus kish island,Sharif University of Technology International Campus – Kish Island,sharif university of technology international campus - kish island,NA,NA
79349752,university of st mark st john,University of St Mark & St John,university of st mark & st john,NA,NA
90401119,stone aerospace,Stone Aerospace,stone aerospace,NA,NA
97455420,sohag university,Sohag University,sohag university,NA,NA
108065085,koshien university,Koshien University,koshien university,NA,NA
109999711,centerpoint energy,CenterPoint Energy,centerpoint energy,NA,NA
122140584,federal university of rio de janeiro,Federal University of Rio de Janeiro,federal university of rio de janeiro,NA,NA
125579684,chikushi jogakuen university,Chikushi Jogakuen University,chikushi jogakuen university,NA,NA
131221577,bucknell university,Bucknell University,bucknell university,NA,NA
132135644,lyndon state college,Lyndon State College,lyndon state college,NA,NA
140025399,hochschule hannover,Hochschule Hannover,hochschule hannover,NA,NA
140141095,ing group,ING Group,ing group,NA,NA
152815399,singapore university of technology and design,Singapore University of Technology and Design,singapore university of technology and design,NA,NA
158108717,china national offshore oil corporation,China National Offshore Oil Corporation,china national offshore oil corporation,NA,NA
158908536,nil ratan sircar medical college and hospital,Nil Ratan Sircar Medical College and Hospital,nil ratan sircar medical college and hospital,NA,NA
166934088,imo state university,Imo State University,imo state university,NA,NA
177400693,instituto tecnologico de ciudad madero,Instituto Tecnológico de Ciudad Madero,instituto tecnologico de ciudad madero,NA,NA
180838668,cime,CIME,cime,NA,NA
180892589,international psychoanalytical association,International Psychoanalytical Association,international psychoanalytical association,NA,NA
183550418,san diego state university imperial valley campus,San Diego State University Imperial Valley Campus,san diego state university imperial valley campus,NA,NA
184937672,chubu university,Chubu University,chubu university,NA,NA
184942183,university of oslo,University of Oslo,university of oslo,University of Oslo,Norway
193621644,nagoya bunri university,Nagoya Bunri University,nagoya bunri university,NA,NA
199593879,arc international,Arc International,arc international,NA,NA
202296568,masimo,Masimo,masimo,NA,NA
206573129,islamia college university,Islamia College University,islamia college university,NA,NA
225921006,petre andrei university of iași,Petre Andrei University of Iași,petre andrei university of iasi,NA,NA
233754661,novena university,Novena University,novena university,NA,NA
257272505,american trucking associations,American Trucking Associations,american trucking associations,NA,NA
276256525,babu banarasi das university,Babu Banarasi Das University,babu banarasi das university,NA,NA
310735636,zabol university of medical sciences,Zabol University of Medical Sciences,zabol university of medical sciences,NA,NA
321008882,kao fong college of digital contents,Kao Fong College of Digital Contents,kao fong college of digital contents,NA,NA
331295397,beijingwest industries,BeijingWest Industries,beijingwest industries,NA,NA
522815984,robert gordon university,Robert Gordon University,robert gordon university,NA,NA
876237426,gombe state university,Gombe State university,gombe state university,NA,NA
880006796,albanian mobile communications,Albanian Mobile Communications,albanian mobile communications,NA,NA
880116317,national council of resistance of iran,National Council of Resistance of Iran,national council of resistance of iran,NA,NA
891272485,greater nile petroleum operating company,Greater Nile Petroleum Operating Company,greater nile petroleum operating company,NA,NA
903955410,franklin university switzerland,Franklin University Switzerland,franklin university switzerland,NA,NA
921835857,trinity laban conservatoire of music and dance,Trinity Laban Conservatoire of Music and Dance,trinity laban conservatoire of music and dance,NA,NA
923382979,exxonmobil,ExxonMobil,exxonmobil,NA,NA
927971549,remy international,Remy International,remy international,NA,NA
1284253174,american foreign policy council,American Foreign Policy Council,american foreign policy council,NA,NA
1285146798,siemens plm software,UGS Corp.,ugs corp.,NA,NA
1288198617,american cancer society,American Cancer Society,american cancer society,NA,NA
1289141634,national center for education statistics,National Center for Education Statistics,national center for education statistics,NA,NA
1289461252,indian space research organisation,Indian Space Research Organisation,indian space research organisation,NA,NA
1291712807,royal cornwall polytechnic society,Royal Cornwall Polytechnic Society,royal cornwall polytechnic society,NA,NA
1293477445,kansai paint,Kansai Paint,kansai paint,NA,NA
1301620350,consolidated aircraft,Consolidated Aircraft,consolidated aircraft,NA,NA
1311660048,centre for excellence in mining innovation,Centre for Excellence in Mining Innovation,centre for excellence in mining innovation,NA,NA
1313603282,gavi alliance,GAVI Alliance,gavi alliance,NA,NA
1315319756,state bureau of surveying and mapping,State Bureau of Surveying and Mapping,state bureau of surveying and mapping,NA,NA
1319743688,abbott northwestern hospital,Abbott Northwestern Hospital,abbott northwestern hospital,NA,NA
1325784139,yahoo,Yahoo!,yahoo!,NA,NA
1328243475,food corporation of india,Food Corporation of India,food corporation of india,NA,NA
1330701686,collegio carlo alberto,Collegio Carlo Alberto,collegio carlo alberto,NA,NA
1332341397,aecom,AECOM,aecom,NA,NA
1337550516,australian competition and consumer commission,Australian Competition and Consumer Commission,australian competition and consumer commission,NA,NA
1340383486,jinnah hospital lahore,"Jinnah Hospital, Lahore","jinnah hospital, lahore",NA,NA
1343253667,national museums scotland,National Museums Scotland,national museums scotland,NA,NA
2799276115,makino botanical garden,Makino Botanical Garden,makino botanical garden,NA,NA
2799334863,soroti hospital,Soroti Hospital,soroti hospital,NA,NA
2799549910,brazos valley museum of natural history,Brazos Valley Museum of Natural History,brazos valley museum of natural history,NA,NA
2799638773,bodoland university,Bodoland University,bodoland university,NA,NA
2799833754,bridgend college,Bridgend College,bridgend college,NA,NA
2799844046,humane slaughter association,Humane Slaughter Association,humane slaughter association,NA,NA
2800100512,collaborating centre on sustainable consumption and production,Collaborating Centre on Sustainable Consumption and Production,collaborating centre on sustainable consumption and production,NA,NA
2800247874,voronezh state medical academy named after n n burdenko,Voronezh State Medical Academy named after N.N. Burdenko,voronezh state medical academy named after n.n. burdenko,NA,NA
2800560132,long island jewish medical center,Long Island Jewish Medical Center,long island jewish medical center,NA,NA
2800717420,southeastern bible college,Southeastern Bible College,southeastern bible college,NA,NA
2800828884,institut d economie industrielle,Institut d'Economie Industrielle,institut d'economie industrielle,NA,NA
2800925514,jamestown hospital,Jamestown Hospital,jamestown hospital,NA,NA
2800934180,dong a university hospital,Dong-A University Hospital,dong-a university hospital,NA,NA
2800967931,ba school of business and finance,BA School of Business and Finance,ba school of business and finance,NA,NA
2801135968,canadian research institute for the advancement of women,Canadian Research Institute for the Advancement of Women,canadian research institute for the advancement of women,NA,NA
2801279844,european business school paris,European Business School Paris,european business school paris,NA,NA
2801647717,holmes community college,Holmes Community College,holmes community college,NA,NA
2801919588,shanghai library,Shanghai Library,shanghai library,NA,NA
2802022162,heisei college of health sciences,Heisei College of Health Sciences,heisei college of health sciences,NA,NA
2802377004,caldwell west caldwell public schools,Caldwell West Caldwell Public Schools,caldwell west caldwell public schools,NA,NA
2802623625,selma university,Selma University,selma university,NA,NA
2802891524,nevsky institute of language and culture,Nevsky Institute of Language and Culture,nevsky institute of language and culture,NA,NA
2802933311,kidwai memorial institute of oncology,Kidwai Memorial Institute of Oncology,kidwai memorial institute of oncology,NA,NA
2893751785,orthopterists society,Orthopterists' Society,orthopterists' society,NA,NA
2899701089,maharaja yeshwantrao hospital,Maharaja Yeshwantrao Hospital,maharaja yeshwantrao hospital,NA,NA
1877545,caritas institute of higher education,Caritas Institute of Higher Education,caritas institute of higher education,NA,NA
